x,y,magnitude
7,71,6.86E-11
7,72,2.77E-10
7,73,9.45E-11
7,74,1.01E-10
7,75,1.70E-10
7,76,2.67E-10
7,77,7.93E-11
7,78,8.30E-11
7,79,2.65E-10
7,80,6.71E-10
7,81,3.18E-10
7,82,1.09E-10
7,83,4.10E-10
7,84,2.25E-10
7,85,1.80E-10
7,86,2.70E-10
7,87,3.66E-10
7,88,4.70E-10
7,89,1.18E-10
7,90,4.81E-10
7,91,1.33E-10
7,92,4.88E-10
7,93,2.70E-10
7,94,9.32E-10
7,95,5.86E-10
7,96,3.60E-10
7,97,3.54E-10
7,98,2.80E-10
7,99,1.30E-10
7,100,3.50E-10
7,101,2.47E-10
7,102,2.35E-10
7,103,2.50E-10
7,104,2.87E-10
7,105,2.92E-10
7,106,2.33E-10
7,107,8.62E-11
7,108,3.59E-10
7,109,2.09E-10
7,110,4.91E-10
7,111,3.55E-10
7,112,5.83E-10
7,113,1.69E-10
7,114,4.67E-10
7,115,2.65E-10
7,116,1.65E-10
7,117,1.91E-10
7,118,3.63E-10
7,119,3.06E-10
7,120,3.32E-10
7,121,2.68E-10
7,122,3.17E-10
7,123,2.15E-10
7,124,1.82E-10
7,125,2.85E-10
7,126,3.55E-10
7,127,1.16E-10
8,0,1.23E-10
8,1,3.71E-10
8,2,1.42E-10
8,3,4.32E-10
8,4,3.06E-10
8,5,8.96E-11
8,6,3.93E-10
8,7,2.23E-10
8,8,2.47E-10
8,9,3.46E-10
8,10,3.49E-10
8,11,2.96E-10
8,12,1.36E-10
8,13,3.51E-10
8,14,2.91E-10
8,15,6.45E-11
8,16,3.38E-10
8,17,2.37E-10
8,18,3.81E-10
8,19,5.33E-10
8,20,2.15E-10
8,21,4.88E-10
8,22,5.10E-10
8,23,4.67E-10
8,24,5.20E-10
8,25,1.33E-11
8,26,3.22E-10
8,27,2.03E-10
8,28,4.97E-10
8,29,4.99E-10
8,30,5.72E-10
8,31,4.36E-10
8,32,2.65E-10
8,33,4.99E-10
8,34,4.71E-10
8,35,3.15E-10
8,36,2.50E-10
8,37,7.30E-11
8,38,2.33E-10
8,39,8.70E-11
8,40,3.61E-11
8,41,2.06E-10
8,42,2.39E-10
8,43,8.24E-11
8,44,7.00E-11
8,45,2.33E-10
8,46,2.61E-10
8,47,7.73E-11
8,48,1.29E-10
8,49,1.70E-10
8,50,9.40E-11
8,51,2.32E-10
8,52,2.75E-10
8,53,2.21E-10
8,54,8.67E-11
8,55,3.06E-10
8,56,2.50E-11
8,57,1.12E-10
8,58,6.46E-11
8,59,3.03E-10
8,60,3.42E-10
8,61,1.48E-10
8,62,2.28E-10
8,63,2.82E-10
8,64,1.11E-10
8,65,2.02E-10
8,66,1.90E-10
8,67,1.70E-10
8,68,1.85E-10
8,69,1.75E-10
8,70,1.63E-10
8,71,6.26E-11
8,72,2.68E-10
8,73,3.11E-11
8,74,1.20E-10
8,75,1.68E-10
8,76,2.25E-10
8,77,5.39E-11
8,78,6.18E-11
8,79,5.25E-10
8,80,4.97E-10
8,81,2.11E-10
8,82,2.27E-10
8,83,2.75E-10
8,84,4.62E-10
8,85,1.85E-10
8,86,3.23E-10
8,87,2.85E-10
8,88,1.17E-10
8,89,3.63E-10
8,90,3.50E-10
8,91,1.32E-10
8,92,3.61E-10
8,93,1.35E-10
8,94,9.93E-11
8,95,1.50E-10
8,96,5.81E-11
8,97,5.87E-10
8,98,4.68E-10
8,99,4.68E-10
8,100,1.52E-10
8,101,4.72E-10
8,102,2.43E-10
8,103,2.39E-10
8,104,2.25E-10
8,105,4.88E-10
8,106,2.51E-10
8,107,2.30E-10
8,108,1.32E-10
8,109,2.04E-10
8,110,1.67E-10
8,111,3.55E-10
8,112,2.86E-10
8,113,1.72E-10
8,114,4.93E-10
8,115,3.03E-10
